,product_id,product_name,aisle_id,department_id,suggested_prods,suggested_aisle_ids,suggested_pro_ids,suggested_dept_id
46,47,Onion Flavor Organic Roasted Seaweed Snack,66,6,"Organic Roasted Garlic Pasta Sauce,Sliced Onion Bagels,Organic Roasted Garlic Vinaigrette Dressing Organic,Snack Bags","9,93,89,87","244,836,962,274","9,3,13,17"
47,48,"School Glue, Washable, No Run",87,17,"Creamline Yogurt Wild Blueberry,Eco-Pac Kamut Puffs Cereal,Cheese Creations Four Cheese Cheese Sauce,Disinfectant Spray Cherry Blossom & Pomegranate Scent","120,121,9,101","339,340,341,328","16,14,9,17"
48,49,Vegetarian Grain Meat Sausages Italian - 4 CT,14,20,"Bread, Healthy Whole Grain,Refried Beans Vegetarian,Whole Grain Linguine Pasta,Traditional Lasagna with Meat Sauce Savory Italian Recipes","112,30,131,38","101,766,418,36","3,6,9,1"
49,50,Pumpkin Muffin Mix,105,13,"Bolani Pumpkin Filled Flatbread,Coco Joe Pumpkin Seeds,Mix-Up Flamin' Hot & Cheezy Mix Flavored Snack Mix,Gluten Free Blueberry Muffin Mix","13,117,107,105","809,840,422,235","20,19,19,13"
50,51,Sa Extra Hold Mousse Hair Styling,22,11,"Extra Sharp Cheddar Cheese,Rose & Apricot Hair Milk,Extra Strength Berry,Medium to Firm Hold Hair Styling Foam","21,22,64,22","169,871,345,542","16,11,7,11"
51,52,Mirabelle Brut Rose,134,5,"Organic Lemon Gingersnap,Black Currant Kombucha,Rose & Apricot Hair Milk,Brut Rosé","61,31,22,134","331,336,871,150","19,7,11,5"
52,53,Whole Leaf Pure Aloe With Lemon Juice,98,7,"Pure Coconut Water With Orange,Sensitive Shave Gel with Aloe,Peach Aloe Vera Drink,Grape Leaf Hummus Wrap","98,55,98,13","7,949,677,109","7,11,7,20"
53,54,24/7 Performance Cat Litter,41,8,"Sliced Chicken Entree Cat Food,Cat Food, Premium, Adult Cat Formula,Cookie Dough Performance Energy,Tidy Cats 4-in-1 Strength Cat Litter","41,41,3,41","442,848,183,761","8,8,19,8"
54,55,Lasting Color Shampoo,22,11,"Natural Food Color Packets,Red Food Color,Advanced Haircare Color Vibrancy Nourishing Shampoo,Shampoo Baby Shampoo","17,97,22,102","323,263,308,956","13,13,11,18"
55,56,Healthy Pop Butter Popcorn,23,19,"Movie Theater Butter Pop Corn,Gluten-Free Boom Chicka Pop Sweet & Spicy Popcorn,Classic Butter Microwave Popcorn,Butter Flavor Pan Popcorn","23,23,23,23","723,726,764,771","19,19,19,19"
56,57,Flat Toothpicks,111,17,"Soap, Pure-Castile, 18-in-1 Hemp, Lavender,Flat Floss, Antiplaque, Naturally Waxed, Spearmint,Injera Flat Bread,Toothpicks","25,20,128,87","337,401,595,964","11,11,3,17"
57,58,Whole Wheat Tortillas,128,3,"Whole Wheat Spanakopita,Fajita Flour Tortillas,Flax, Oat Bran & Whole Wheat Flour Tortillas,100% Whole Wheat Flour Burrito Tortillas","129,128,128,128","360,705,653,737","1,3,3,3"
58,59,Medium Taqueria Style Chipotle Salsa,50,19,"Chips Onion Chipotle Garlic,Chipotle & Roasted Garlic Seasoning,Salsa Roja,Tomatillo Salsa","107,104,51,51","140,922,589,546","19,13,13,13"
59,60,Cheesy Creations Roasted Garlic Parmesan Sauce,9,9,"Cheese Creations Four Cheese Cheese Sauce,Chipotle & Roasted Garlic Seasoning,Garlic Parmesan Pita Bread Chips,Organic Roasted Garlic Pasta Sauce","9,104,107,9","341,922,166,244","9,13,19,9"
60,61,Ramen Noodles Soup Chicken Mushroom Flavor,69,15,"Noodle Soup Mix With Chicken Broth,Traditional Chicken Tuscany Soup,Habanero Lime Shrimp Flavor Ramen Noodle Soup,Hot & Spicy Chicken Flavor Ramen Noodles","69,69,4,4","37,718,173,126","15,15,9,9"
61,62,Premium Deli Oven Roasted Turkey Breast,96,20,"Original Turkey,Turkey,Smoked Ham & Oven Roasted Turkey Sub Sandwich Kit,Premium Deli Hard Salami","96,96,96,96","176,287,158,757","20,20,20,20"
62,63,Banana & Sweet Potato Organic Teething Wafers,92,18,"Banana Chocolate Chip,Protein Shake, Organic, Banana Creme,Fingerling Potato,Garnet Sweet Potato (Yam)","52,64,83,83","602,911,882,581","1,7,4,4"
63,64,Autumn Vegetable & Turkey Dinner with Lil' Bits Purees Dinner,92,18,"3rd Foods Chicken Noodle Dinner,Crunchy & Soft Taco Dinner Kit,Turkey,Blakes Chicken Parmesan Dinner","92,30,96,38","817,850,287,81","18,6,20,1"
64,65,Organic Red Wine & Olive Oil Dressing Organic,89,13,"Most Wanted Cabernet Sauvignon Red Wine,Red Jalapeno Caesar Dressing,Organic Roasted Garlic Vinaigrette Dressing Organic,Malbec Red Wine","28,89,89,28","479,423,962,567","5,13,13,5"
65,66,European Style Spring Mix,123,4,"Complete Spring Water Foaming Antibacterial Hand Wash,Cream Style Corn,Mix-Up Flamin' Hot & Cheezy Mix Flavored Snack Mix,European Cucumber","127,81,107,83","27,664,422,45","11,15,19,4"
66,67,"Jelly, Blackberry",88,13,"Organic Lemon Gingersnap,Black Currant Kombucha,Apricots,Liquid Drink Mix Blackberry Lemonade","61,31,18,90","3,313,361,000,385","19,7,10,7"
67,68,"Pancake Mix, Buttermilk",130,14,"Sweet Cream Buttermilk Powder,Light and Fluffy  Blueberry Pancake Mix,Complete Funfetti Buttermilk Pancake & Waffle Mix,Shake n Pour Buttermilk Pancake Mix","17,130,130,130","395,565,745,994","13,14,14,14"
68,69,Vanilla with Almond Milk Iced Coffee,26,7,"Almond Breeze Unsweetened Almond Coconut Milk Blend,Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,Vanilla Almond Protein Bar,Vanilla Almond Breeze Almond Milk","91,37,3,91","738,130,406,432","16,1,19,16"
69,70,Sweet Cooking Rice Seasoning,66,6,"Wild Rice Blend,Organic Rice Vinegar,Original No-Stick Cooking Spray,Salt Free Seasoning","68,66,19,104","503,95,826,463","10,6,13,13"
70,71,Ultra 7 Inch Polypropylene Traditional Plates,111,17,"Traditional Red Miso,Everyday Mega Pack Paper Plates,Ultra Thin Pastrami,Traditional Water Crackers","66,111,96,78","854,428,403,145","6,17,20,19"
71,72,Organic Honeycrisp Apples,100,21,"Organic Red Wine & Olive Oil Dressing Organic,Organic Mozzarella,Organic Roasted Garlic Vinaigrette Dressing Organic,Yogurt Fruit Dip Sliced Apples","89,21,89,123","65,617,962,89","13,16,13,4"
72,73,Jasmine Tea Unfiltered Ginger Ale,77,7,"Born Yesterday Pale Ale,Tea Temples Green Tea With Mint,Saucy Ginger Mandarin Dressing,Ginger Berry Kombucha","27,94,89,31","430,560,898,875","5,7,13,7"
73,74,Artisan Chick'n & Apple Sausage,14,20,"Sausage Gravy & Biscuit,Apple Green Cups,Premium Apple Juice,Artisan Ciabatta","52,111,98,58","688,846,935,155","1,17,7,1"
74,75,"Hemp Protein, Organic",65,11,"Almond Honey Protein+ Bar,Vanilla Almond Protein Bar,Soap, Pure-Castile, 18-in-1 Hemp, Lavender,Protein Shake, Organic, Banana Creme","3,3,25,64","445,406,337,911","19,19,11,7"
75,76,Spinach Basil Garlic Linguini,12,9,"Basil Daly Bar Soap,Spinach Pesto,Authentic Deep Dish, Spinach & Garlic Pizza,Tomato Paste with Basil, Oregano & Garlic Flavor","25,9,79,81","333,813,250,534","11,9,1,15"
76,77,Coconut Chocolate Chip Energy Bar,3,19,"Gluten Free All Natural Chocolate Chip Cookies,Cookie Chips Crunchy Dark Chocolate Chocolate Chip Cookies,Banana Chocolate Chip,Peanut Butter Chocolate Chip Bar","61,61,52,3","172,559,602,883","19,19,1,19"
77,78,Nutter Butter Cookie Bites Go-Pak,61,19,"Gluten Free Sugar Cookie Mix,Toll House Ultimate Chocolate Peanut Butter Deluxe Cookie Dough,Little Bites Snickerdoodle Muffins,Cookie Sheets","105,105,61,10","847,950,635,604","13,13,19,17"
78,79,Wild Albacore Tuna No Salt Added,95,15,"All-Seasons Salt,Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn,Sardines in Water Salt Added,Albacore Chunk White Tuna in Water","104,81,33,95","2,29,425,827","13,15,6,15"
79,80,French  Tarragon Wine Vinegar,19,13,"Malbec Red Wine,French Vanilla Ice Cream,French Rolls,Organic Rice Vinegar","28,37,43,66","567,276,517,95","5,1,3,6"
80,81,Blakes Chicken Parmesan Dinner,38,1,"Prime Filets Chicken & Tuna Dinner in Gravy Cat Food,Autumn Vegetable & Turkey Dinner with Lil' Bits Purees Dinner,Shaved Parmesan Cheese,3rd Foods Chicken Noodle Dinner","41,92,21,92","293,64,226,817","8,18,16,18"
81,82,All Natural 100% Apple Juice,98,7,"100% Cranberry Juice Blend,Apple Sparkling Juice Beverage,Organic Pasteurized Apple Juice,Premium Apple Juice","98,98,98,98","806,618,792,935","7,7,7,7"
82,83,100% Whole Wheat Pita Bread,128,3,"100% Whole Wheat Flour Burrito Tortillas,Organic 100% Whole Wheat Rigatoni,Garlic Parmesan Pita Bread Chips,Organic Thin Sliced 100% Whole Wheat Bread","128,131,107,112","737,774,166,566","3,9,19,3"
83,84,Lamb Shank,7,12,"Cheese Creations Four Cheese Cheese Sauce,Organic Whole Grassmilk Milk,Apricots,Lamb Rib Chops","9,84,18,122","3,413,291,000,194","9,16,10,12"
84,85,Soppressata Piccante,96,20,"Cheese Creations Four Cheese Cheese Sauce,Complete Health Deboned Chicken, Chicken Meal and Rice Cat Food,Chilpotles in Adobo Sauce,Apricots","9,41,30,18","3,413,423,301,000","9,8,6,10"
85,86,"Camilia, Single Liquid Doses",6,2,"Ultra Antibacterial Dish Liquid,Single Herbs Ginkgo Leaf Dietary Supplement,Ibuprofen Liquid Gels,Single Classic Canned Meat","100,47,133,59","38,170,455,834","21,11,11,15"
86,87,Classics Earl Grey Tea,94,7,"Organic Chamomile Lemon Tea,Chai Tea Bags,Classics Baby Binks Easter Chocolate Bunny,Tea Temples Green Tea With Mint","94,94,100,94","97,281,417,560","7,7,21,7"
87,88,Probiotics High Potency Capsules,47,11,"High Protein Chocolate Light Milk Shake,High Fiber Tomato Basil Soup,Vitamin D3 1000 I.U Vegetable Capsules,Probiotics Women 50 & Wiser Vegetarian Capsules","65,69,47,70","832,104,805,629","11,15,11,11"
88,89,Yogurt Fruit Dip Sliced Apples,123,4,"Coconut Yogurt,Organic Ranch Veggie Dip,Organic Honeycrisp Apples,Tzatziki Greek Yogurt Dip","120,67,100,67","920,147,72,353","16,20,21,20"
89,90,Smorz Cereal,121,14,"Wheat Chex Cereal,Special K Original Cereal,Cheerios Cereal,Peanut Butter Cereal","121,121,121,121","28,588,365,34","14,14,14,14"
90,91,Kind Prenatal Once Daily,47,11,"Strong & Kind Roasted Jalapeno Almond Protein Bar,Geranium Daily Bar Soap,Daily Moisture Shampoo,Prenatal One, Tablets","3,25,22,47","324,586,498,645","19,11,11,11"
91,92,Meat In The Middle Large Rawhide Chews,40,8,"Graduates Lil' Meals Spaghetti Rings In Meat Sauce,Traditional Lasagna with Meat Sauce Savory Italian Recipes,Vegetarian Grain Meat Sausages Italian - 4 CT,Single Classic Canned Meat","92,38,14,59","873,36,49,834","18,1,20,15"
92,93,Uncured Cracked Pepper Beef,23,19,"Red Sweet Mini Pepper,Uncured Hard Salami,Uncured Turkey Bologna,Chicago Steak & Chop Cracked Pepper & Garlic Blend","100,96,100,104","991,611,110,860","21,20,21,13"
93,94,Organic Blueberry Blitz Fruit & Veggie Smoothie Mashups,92,18,"Organic Fiber Fruit Blend,Organic Fruit Punch,Wild Blueberry All Natural Fruit Spread,Organic Ranch Veggie Dip","116,98,88,67","767,646,149,147","1,7,13,20"
94,95,Organic Rice Vinegar,66,6,"Reg; Organic Apple Cider Vinegar 16 Fl Oz,French  Tarragon Wine Vinegar,Sherry Reserve Vinegar,Wild Rice Blend","19,19,19,68","404,80,123,503","13,13,13,10"
95,96,Sprinklez Confetti Fun Organic Toppings,97,13,"Organic Mozzarella,Organic Roasted Garlic Vinaigrette Dressing Organic,Original Bite Size Candies Natural & Artificial Flavors Fun Size,Fun Size Snacks","21,89,45,45","617,962,409,623","16,13,19,19"
96,97,Organic Chamomile Lemon Tea,94,7,"Organic Strawberry Lemon-ade,Brisk With Lemon Iced Tea,Organic Lemon Gingersnap,Organic Smooth Move Chamomile Laxative Tea Bags","31,94,61,94","399,298,331,880","7,7,19,7"
97,98,2% Yellow American Cheese,2,16,"Cheese Creations Four Cheese Cheese Sauce,Yellow Cherry Tomato,American Cheese Slices,Sliced American Cheese","9,83,21,21","341,494,516,769","9,4,16,16"
98,99,Local Living Butter Lettuce,83,4,"Peanut Butter Bars,Peanut Butter Cereal,Organic Salted Butter,Living Organic Cilantro","3,121,36,16","985,34,651,157","19,14,16,4"
99,100,Peanut Butter & Strawberry Jam Sandwich,38,1,"Peanut Butter Chocolate Chip Bar,Multigrain Peanut Butter Cereal,Peanut Butter Bars,Peanut Butter Cereal","3,121,3,121","883,637,985,34","19,14,19,14"
100,101,"Bread, Healthy Whole Grain",112,3,"Oatnut Bread,Sunflower Bread,Whole Grain Linguine Pasta,Healthy Pop Butter Popcorn","112,112,131,23","889,346,418,56","3,3,9,19"
101,102,Danish Butter Cookies,61,19,"Organic Salted Butter,Chocolate Sandwich Cookies,Vanilla Sugar Cookies,Creamy Danish Blue Cheese Wedge","36,61,61,21","651,1,576,545","16,19,19,16"
102,103,Sprouted Kale Cracker,78,19,"Organic Apple Spinach Kale Coconut Water Superjuice,Cracker Trio Selected Favorites,Vegetable Salad Kit, Sweet Kale,Organic Sprouted Barley Bread","98,78,123,112","299,760,347,108","7,19,4,3"
103,104,High Fiber Tomato Basil Soup,69,15,"Organic Fiber Fruit Blend,Yellow Cherry Tomato,Tomato Paste with Basil, Oregano & Garlic Flavor,Spicy Tomato & Basil Pasta Sauce","116,83,81,9","767,494,534,640","1,4,15,9"
104,105,"Easy Grab 9\""x13\"" Oblong Glass Bakeware",10,17,"Chilpotles in Adobo Sauce,Apricots,Glass Storage Container with Green Silicone Protection,Glass Bottles","30,18,85,77","3,301,000,265,839","6,10,17,7"
105,106,Organic Yummy Tummy Maple & Brown Sugar Instant Oatmeal,92,18,"Gluten Free Oatmeal, Variety Pack,Alcohol Free Maple Flavor,Gluten Free Organic Cereal Coconut Maple Vanilla,Instant Mashed Potatoes","130,104,130,4","216,526,211,278","14,13,14,9"
106,107,Mild Salsa Divino,51,13,"Hot Tomatillo Salsa,Salsa Roja,Tomatillo Salsa,Mild El Nino Salsa","51,51,51,67","112,589,546,188","13,13,13,20"
107,108,Organic Sprouted Barley Bread,112,3,"Light Savory Beef Barley Vegetable Soup,Sunflower Bread,Organic Thin Sliced 100% Whole Wheat Bread,Sprouted Kale Cracker","69,112,112,78","114,346,566,103","15,3,3,19"
108,109,Grape Leaf Hummus Wrap,13,20,"Cocktail Time Hummus,Sparkling Blush Grape Juice,Classic Original Hummus,Hummus Wrap","67,77,67,13","687,167,544,453","20,7,20,20"
109,110,Uncured Turkey Bologna,100,21,"Turkey Chili,Uncured Hard Salami,Original Turkey,Turkey","1,96,96,96","554,611,176,287","20,20,20,20"
110,111,"Fabric Softener, Geranium Scent",75,17,"Geranium Daily Bar Soap,Beach Sage Liquid Fabric Softener,Fabric Softener Dryer Sheet Free & Gentle 200CT Fabric Enhancers,Mountain Stream Fabric Softener","25,75,75,75","586,434,368,843","11,17,17,17"
111,112,Hot Tomatillo Salsa,51,13,"Mild Salsa Divino,Salsa Roja,Tapatio Salsa Picante Hot Sauce Tortilla Chips,Tomatillo Salsa","51,51,107,51","107,589,213,546","13,13,19,13"
112,113,Infant's Blend Probiotic,70,11,"Wild Rice Blend,Pomegranate Coconut Sparkling Probiotic Drink, Organic,Mache Blend,Organic California Blend","68,31,123,116","503,858,389,634","10,7,4,1"
113,114,Light Savory Beef Barley Vegetable Soup,69,15,"Vegetable Hearty Garden Soup,Organic Elmo Vegetable Soup,Organic Southwestern Vegetable Soup,Old Fashioned Vegetable Beef Soup","100,69,69,69","690,684,644,466","21,15,15,15"
114,115,Scooby-Doo! Fruit Flavored Snacks,50,19,"Fun Size Snacks,Teensy Fruits Baby Fruit Snacks Berry,Annie's Bunny Fruit Snacks Variety,Island Fruits Fruit Snacks","45,92,50,50","623,777,939,256","19,18,19,19"
115,116,English Muffins,93,3,"Organic Lemon Gingersnap,Apricots,Little Bites Snickerdoodle Muffins,Fudge Brownies with English Walnuts","61,18,61,61","3,311,000,635,622","19,10,19,19"
